Breed Name,Picture,URL,Adapts Well To Apartment Living,Good For Novice Owner,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Affectionate With Family,Kid Friendly,Dog Friendly,Stranger Friendly,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Weight Gain Potential,Size,Easy To Train,Intelligence,Mouthiness Potential,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,High Energy Level,Intensity,Playfulness,Adaptability,Friendliness,Health And Grooming,Trainability,Exercise Needs
Broholmer,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1321452598-e1694301065136.jpg?w=1024,https://dogtime.com/dog-breeds/broholmer,2,4,3,3,3,3,5,4,3,3,3,2,4,4,3,5,4,4,3,2,3,2,3,3,3,3.0000,3.7500,3.5000,3.0000,3.0000
Brussels Griffon,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-179861205-e1691003748400.jpg?w=1024,https://dogtime.com/dog-breeds/brussels-griffon,5,2,5,1,1,2,5,4,4,3,3,3,3,3,3,1,3,4,3,1,4,5,5,3,5,2.6667,4.0000,2.6667,3.3333,4.3333
Bugg,https://dogtime.com/wp-content/uploads/sites/12/2019/12/bugg-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bugg,5,4,3,2,2,3,4,3,2,3,2,2,4,4,4,2,3,4,4,3,4,2,4,3,4,3.1667,3.0000,3.0000,3.3333,3.6667
Bull-Pei,https://dogtime.com/wp-content/uploads/sites/12/2020/03/bull-pei-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bull-pei,4,2,3,3,1,1,3,2,2,2,4,3,4,3,4,3,3,2,4,2,2,1,2,2,2,2.3333,2.2500,3.5000,2.3333,2.0000
Bull Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-171949422-e1688480338712.jpg,https://dogtime.com/dog-breeds/bull-terrier,4,4,5,2,1,4,5,5,4,5,3,1,5,4,5,2,5,4,4,4,1,5,4,5,5,3.3333,4.7500,3.3333,3.8333,4.6667
Bullador,https://dogtime.com/wp-content/uploads/sites/12/2020/02/bullador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bullador,2,2,4,2,2,2,4,4,4,4,4,4,4,3,5,4,4,4,2,4,4,3,4,4,4,2.3333,4.0000,4.0000,3.5000,4.0000
Bullboxer Pit,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bullboxer-pit-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bullboxer-pit,1,2,3,2,2,2,4,4,2,2,4,4,4,4,4,3,2,4,4,5,4,3,5,5,4,2.0000,3.0000,3.8333,3.6667,4.6667
Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-168620477-e1691273341205.jpg?w=1024,https://dogtime.com/dog-breeds/bulldog,5,4,4,3,1,1,5,4,2,5,3,5,5,4,5,2,3,2,2,2,4,1,2,3,4,3.0000,4.0000,4.0000,2.3333,3.0000
Bullmastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1352427667-e1690999364784.jpg?w=1024,https://dogtime.com/dog-breeds/bullmastiff,3,2,4,2,4,2,5,5,4,3,1,5,5,2,5,5,3,3,3,3,4,3,2,4,5,2.8333,4.2500,3.8333,3.1667,3.6667
Bullmatian,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bullmation-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bullmatian,2,1,3,3,2,2,4,5,4,3,2,3,4,4,4,3,1,4,3,3,2,3,5,4,4,2.1667,4.0000,3.3333,2.6667,4.3333
Cairn Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-510060506-e1689725025862.jpg?w=1024,https://dogtime.com/dog-breeds/cairn-terrier,5,4,3,1,4,4,5,5,4,4,3,1,5,4,3,1,2,5,3,4,4,3,5,4,5,3.5000,4.5000,2.8333,3.5000,4.6667
Canaan Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/download-e1694642126180.jpg,https://dogtime.com/dog-breeds/canaan-dog,4,4,4,3,3,5,4,2,3,2,4,1,5,5,2,3,5,4,3,3,3,2,4,3,4,3.8333,2.7500,3.3333,3.3333,3.6667
Cane Corso,https://dogtime.com/wp-content/uploads/sites/12/2014/08/GettyImages-1141876630-e1691880224156.jpg,https://dogtime.com/dog-breeds/cane-corso,1,1,3,1,3,4,4,2,3,2,3,4,5,3,4,4,4,5,2,5,3,2,4,3,2,2.1667,2.7500,3.8333,3.5000,3.0000
Cardigan Welsh Corgi,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1446223089-1-e1695252647170.jpg?w=1024,https://dogtime.com/dog-breeds/cardigan-welsh-corgi,4,4,4,3,4,3,5,4,3,3,4,1,3,4,4,2,4,5,2,4,2,3,3,3,4,3.6667,3.7500,3.0000,3.3333,3.3333
Catahoula Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-485256453-e1710520093615.jpg?w=1024,https://dogtime.com/dog-breeds/catahoula-bulldog,1,1,2,3,1,5,4,3,2,1,1,1,5,4,3,4,2,3,4,5,3,3,5,5,4,2.1667,2.5000,3.0000,3.3333,4.6667
Catahoula Leopard Dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-621482340-e1694712115798.jpg?w=1024,https://dogtime.com/dog-breeds/catahoula-leopard-dog,1,1,2,2,3,3,5,3,1,1,3,1,5,3,3,4,2,3,3,1,3,3,4,3,2,2.0000,2.5000,3.1667,2.5000,3.0000
Caucasian Shepherd Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-153484492-e1694628785728.jpg?w=1024,https://dogtime.com/dog-breeds/caucasian-shepherd-dog,2,1,2,3,5,2,4,2,2,2,4,4,2,3,4,5,2,4,4,3,3,2,2,4,3,2.5000,2.5000,3.6667,3.0000,3.0000
Cav-a-Jack,https://dogtime.com/wp-content/uploads/sites/12/2019/10/cav-a-jack-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/cav-a-jack,4,4,3,1,3,3,4,4,4,4,2,2,4,3,4,2,4,4,3,4,3,3,4,3,5,3.0000,4.0000,2.8333,3.5000,4.0000
Cavachon,https://dogtime.com/wp-content/uploads/sites/12/2019/08/cavachon-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/cavachon,5,5,5,1,3,3,5,5,5,5,2,1,2,4,4,2,4,4,3,4,3,2,4,3,5,3.6667,5.0000,2.5000,3.3333,4.0000
Cavador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/cavador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/cavador,3,5,4,2,3,3,5,5,4,3,3,2,4,4,4,3,4,4,2,3,3,3,4,3,5,3.3333,4.2500,3.3333,3.1667,4.0000
Cavalier King Charles Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-114508551.jpg?w=1024,https://dogtime.com/dog-breeds/cavalier-king-charles-spaniel,5,5,5,1,3,2,5,5,5,5,3,1,4,4,4,2,4,4,3,3,3,2,3,2,5,3.5000,5.0000,3.0000,3.1667,3.3333
Cavapoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-173255251-e1692542655509.jpg?w=1024,https://dogtime.com/dog-breeds/cavapoo,3,3,3,2,4,3,5,5,4,4,2,1,3,3,4,2,4,4,3,3,2,3,3,2,5,3.0000,4.5000,2.5000,3.1667,3.3333
Cesky Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1483197146-e1698431289792.jpg?w=1024,https://dogtime.com/dog-breeds/cesky-terrier,5,4,4,3,3,3,5,3,2,3,1,1,4,5,4,2,4,3,3,2,3,3,2,3,5,3.6667,3.2500,2.8333,3.0000,3.3333
Chabrador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/chabrador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chabrador,4,2,4,3,4,1,4,4,2,2,4,3,4,4,3,3,2,4,4,4,3,3,3,4,4,3.0000,3.0000,3.5000,3.3333,3.6667
Cheagle,https://dogtime.com/wp-content/uploads/sites/12/2019/07/cheagle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/cheagle,4,4,4,1,1,2,5,3,3,2,3,1,5,3,4,2,2,4,3,4,4,3,4,4,4,2.6667,3.2500,3.0000,3.3333,4.0000
Chesapeake Bay Retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1351309778-e1691157319495.jpg?w=1024,https://dogtime.com/dog-breeds/chesapeake-bay-retriever,1,1,3,2,4,4,5,3,1,1,5,3,5,4,4,3,3,4,3,3,3,4,5,5,4,2.5000,2.5000,4.0000,3.3333,4.6667
Chi Chi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chi-chi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chi-chi,4,2,4,2,2,3,3,3,2,3,2,1,4,4,4,2,3,4,3,3,4,2,4,4,4,2.8333,2.7500,2.8333,3.1667,4.0000
Chi-Poo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1176486702-e1710811043816.jpg?w=1024,https://dogtime.com/dog-breeds/chi-poo,5,5,5,4,2,3,5,5,3,3,2,1,3,2,3,2,5,5,3,3,3,3,3,2,4,4.0000,4.0000,2.1667,3.6667,3.0000
Chigi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chigi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chigi,3,4,5,2,3,2,5,5,2,2,4,1,5,3,3,1,4,4,2,3,2,3,4,4,4,3.1667,3.5000,2.8333,3.0000,4.0000
Chihuahua,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1329412827-e1701097258260.jpg?w=1024,https://dogtime.com/dog-breeds/chihuahua,5,4,5,1,1,2,5,5,2,2,2,1,5,2,3,1,4,4,3,3,3,2,3,2,4,3.0000,3.5000,2.3333,3.1667,3.0000
Chilier,https://dogtime.com/wp-content/uploads/sites/12/2022/11/Chilier.jpg,https://dogtime.com/dog-breeds/chilier,4,2,4,2,2,2,4,4,4,3,2,3,4,4,3,2,2,4,3,3,3,2,4,4,4,2.6667,3.7500,3.0000,2.8333,4.0000
Chinese Crested,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1421387129-e1692205550412.jpg?w=1024,https://dogtime.com/dog-breeds/chinese-crested,5,3,5,1,1,3,4,5,4,4,2,1,2,5,2,2,4,3,4,3,3,1,2,1,3,3.0000,4.2500,2.3333,3.0000,2.0000
Chinese Shar-Pei,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-597227541-e1695135121879.jpg?w=1024,https://dogtime.com/dog-breeds/chinese-shar-pei,4,2,2,4,2,1,2,2,1,2,5,2,5,1,4,3,3,2,5,2,5,2,2,1,1,2.5000,1.7500,3.3333,3.1667,1.3333
Chinook,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1484936277-e1690933859165.jpg?w=1024,https://dogtime.com/dog-breeds/chinook,4,1,5,1,5,4,5,5,5,4,5,1,2,4,3,4,4,5,3,2,2,2,3,3,4,3.3333,4.7500,3.1667,3.0000,3.3333
Chion,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chion-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chion,4,3,3,2,2,3,5,3,3,2,2,2,3,4,4,2,3,3,4,3,4,1,4,3,4,2.8333,3.2500,2.8333,3.0000,3.6667
Chipin,https://dogtime.com/wp-content/uploads/sites/12/2019/07/chipin-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chipin,5,4,5,1,1,2,5,4,2,2,2,1,5,3,4,1,4,3,2,3,2,3,4,3,5,3.0000,3.2500,2.6667,2.8333,4.0000
Chiweenie,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-1500430783-e1692662779466.jpg?w=1024,https://dogtime.com/dog-breeds/chiweenie,5,3,4,2,1,4,4,2,3,2,1,1,5,3,4,1,2,4,2,3,5,2,4,2,5,3.1667,2.7500,2.5000,3.0000,3.6667
Chorkie,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chorkie-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chorkie,5,5,5,1,1,2,4,3,3,2,2,1,3,3,2,1,3,3,2,2,4,2,4,3,5,3.1667,3.0000,2.0000,2.6667,4.0000
Chow Chow,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-91735840-e1691246757938.jpg?w=1024,https://dogtime.com/dog-breeds/chow-chow,3,2,2,5,5,2,2,1,1,1,1,3,1,2,4,4,2,1,5,2,1,2,2,2,1,3.1667,1.2500,2.5000,2.1667,1.6667
Chow Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chow-shepherd-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chow-shepherd,3,2,4,2,5,4,3,3,2,2,5,2,1,3,2,4,3,3,3,3,2,3,5,4,4,3.3333,2.5000,2.8333,2.8333,4.3333
Chug,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-490935941-e1695663470138.jpg?w=1024,https://dogtime.com/dog-breeds/chug,5,3,3,3,2,3,5,4,3,3,4,2,4,4,4,1,3,3,3,2,2,2,4,3,4,3.1667,3.7500,3.1667,2.5000,3.6667
Chusky,https://dogtime.com/wp-content/uploads/sites/12/2019/08/chusky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chusky,2,2,3,3,5,2,4,4,3,3,5,2,2,3,3,3,3,4,3,3,4,2,4,3,4,2.8333,3.5000,3.0000,3.1667,3.6667
Cirneco dell’Etna,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-873593792-e1694477734169.jpg?w=1024,https://dogtime.com/dog-breeds/cirneco-delletna,4,3,3,3,3,3,5,5,4,3,2,1,4,5,2,3,3,3,2,4,3,1,4,2,4,3.1667,4.2500,2.8333,2.6667,3.3333
Clumber Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-96823791-e1698679241418.jpg,https://dogtime.com/dog-breeds/clumber-spaniel,5,5,4,2,5,2,5,3,4,3,5,5,1,2,5,3,4,3,5,5,1,4,3,1,5,3.8333,3.7500,3.5000,3.6667,3.0000
Cockalier,https://dogtime.com/wp-content/uploads/sites/12/2019/10/cockalier-mixed-dog-breed-picture-cover.jpg,https://dogtime.com/dog-breeds/cockalier,4,4,4,2,2,2,5,5,4,3,2,1,4,4,3,2,4,4,2,3,2,2,4,2,5,3.0000,4.2500,2.6667,2.8333,3.6667
Cockapoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1207034679-1.jpg?w=1024,https://dogtime.com/dog-breeds/cockapoo,4,5,4,3,4,4,5,4,5,4,1,1,3,2,3,2,4,4,2,3,2,3,3,3,5,4.0000,4.5000,2.0000,3.0000,3.6667
Cocker Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-168362733-e1691522067206.jpg?w=1024,https://dogtime.com/dog-breeds/cocker-spaniel,5,3,5,1,4,3,5,3,4,3,3,1,1,4,4,2,5,4,4,5,3,4,4,2,4,3.5000,3.7500,2.5000,4.1667,3.3333
Collie,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-865592368-e1692904739165.jpg?w=1024,https://dogtime.com/dog-breeds/collie,3,4,5,2,4,3,5,5,4,4,5,1,2,3,3,3,4,4,3,4,4,1,3,2,4,3.5000,4.5000,2.8333,3.3333,3.0000
Corgi Inu,https://dogtime.com/wp-content/uploads/sites/12/2019/08/corgi-inu-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/corgi-inu,4,3,3,3,4,2,3,3,3,2,5,2,2,3,3,2,4,4,3,3,3,2,4,3,4,3.1667,2.7500,2.8333,3.1667,3.6667
Corgidor,https://dogtime.com/wp-content/uploads/sites/12/2019/07/corgidor-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/corgidor,3,2,4,3,3,3,5,4,3,4,5,2,4,4,4,3,4,5,3,3,2,3,5,3,5,3.0000,4.0000,3.6667,3.3333,4.3333
Corman Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2019/11/GettyImages-1179001853-e1709836185255.jpg?w=1024,https://dogtime.com/dog-breeds/corman-shepherd,2,2,3,3,4,3,4,4,4,3,5,2,3,3,4,3,4,5,3,3,3,2,4,3,4,2.8333,3.7500,3.3333,3.3333,3.6667
Coton de Tulear,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-490473024-e1699994891842.jpg,https://dogtime.com/dog-breeds/coton-de-tulear,5,4,5,1,3,3,5,5,5,5,1,1,2,5,3,1,3,4,3,1,2,3,3,2,5,3.5000,5.0000,2.1667,2.6667,3.3333
Curly-Coated Retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1204876364-e1698426594947.jpg?w=1024,https://dogtime.com/dog-breeds/curly-coated-retriever,1,3,3,3,4,4,5,5,4,3,3,2,3,2,3,3,4,5,5,5,3,4,5,3,5,3.0000,4.2500,2.6667,4.3333,4.3333
Dachsador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/dachsador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/dachsador,4,2,3,2,3,3,4,4,3,4,2,1,4,4,4,2,3,4,2,4,2,4,4,3,4,2.8333,3.7500,2.8333,3.1667,3.6667
Dachshund,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-700141990-e1688418771301.jpg,https://dogtime.com/dog-breeds/dachshund,5,4,4,3,1,3,4,5,3,1,3,1,3,2,5,1,2,4,4,5,5,5,3,3,4,3.3333,3.2500,2.5000,4.1667,3.3333
Dalmatian,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177292392-e1692667966241.jpg?w=1024,https://dogtime.com/dog-breeds/dalmatian,2,3,4,3,3,4,5,4,4,3,5,1,5,4,4,3,4,4,2,2,2,4,5,4,4,3.1667,4.0000,3.6667,3.0000,4.3333
Dandie Dinmont Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-182665308-e1699630765162.jpg?w=1024,https://dogtime.com/dog-breeds/dandie-dinmont-terrier,4,4,3,2,3,3,5,4,3,3,3,1,2,3,4,1,2,3,3,4,2,3,3,3,4,3.1667,3.7500,2.3333,2.8333,3.3333
Daniff,https://dogtime.com/wp-content/uploads/sites/12/2019/11/daniff-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/daniff,2,2,3,1,4,3,5,4,4,3,2,4,1,3,3,5,4,4,2,2,1,2,3,4,4,2.5000,4.0000,3.0000,2.5000,3.6667
Deutscher Wachtelhund,https://dogtime.com/wp-content/uploads/sites/12/2019/10/GettyImages-180794233-e1708197323228.jpg,https://dogtime.com/dog-breeds/deutscher-wachtelhund,3,3,2,2,4,3,5,4,4,3,3,2,3,5,2,4,4,4,3,4,3,2,4,3,4,2.8333,4.0000,3.1667,3.3333,3.6667
Doberdor,https://dogtime.com/wp-content/uploads/sites/12/2019/08/doberdor-mixed-breed-dog-pictures-cover.jpg,https://dogtime.com/dog-breeds/doberdor,1,1,3,2,2,4,3,3,3,1,1,2,4,4,4,5,1,4,3,4,4,4,5,4,4,2.1667,2.5000,3.3333,3.3333,4.3333
Doberman Pinscher,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-474330006-e1691273994614.jpg?w=1024,https://dogtime.com/dog-breeds/doberman-pinscher,3,3,5,2,1,4,5,3,1,3,4,4,5,1,3,4,5,5,2,1,1,2,3,3,5,3.0000,3.0000,3.5000,2.6667,3.6667
Docker,https://dogtime.com/wp-content/uploads/sites/12/2019/07/docker-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/docker,3,2,4,2,3,3,5,3,3,2,3,2,3,3,3,2,3,4,5,5,4,5,3,3,4,2.8333,3.2500,2.6667,4.3333,3.3333
Dogo Argentino,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1189927950-e1695058009178.jpg?w=1024,https://dogtime.com/dog-breeds/dogo-argentino,1,1,3,2,2,4,4,2,2,2,1,3,4,3,2,4,2,3,2,5,2,4,4,4,3,2.1667,2.5000,2.8333,3.0000,3.6667
Dogue de Bordeaux,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-870835468-e1688165931787.jpg?w=1024,https://dogtime.com/dog-breeds/dogue-de-bordeaux,5,1,4,2,3,2,5,5,1,1,3,5,5,2,4,4,2,3,4,4,2,1,2,2,3,2.8333,3.0000,3.8333,2.6667,2.3333
Dorgi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/dorgi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/dorgi,4,4,3,1,4,3,4,4,4,3,2,2,4,4,4,2,3,4,4,3,3,3,4,4,5,3.1667,3.7500,3.0000,3.3333,4.3333
Dorkie,https://dogtime.com/wp-content/uploads/sites/12/2020/01/5818864337_54aff6a807_k-e1711057877276.jpg,https://dogtime.com/dog-breeds/dorkie,5,4,4,2,2,2,4,4,4,4,3,1,2,2,2,1,3,4,2,3,2,2,2,2,3,3.1667,4.0000,1.8333,2.6667,2.3333
Doxiepoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/doxiepoo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/doxiepoo,5,3,4,2,3,3,5,2,1,3,3,3,2,4,2,2,3,5,3,4,5,4,4,4,5,3.3333,2.7500,2.6667,4.0000,4.3333
Doxle,https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1296253583-e1708025763898.jpg?w=1024,https://dogtime.com/dog-breeds/doxle,2,4,4,1,2,4,5,4,5,4,5,1,4,4,4,3,3,4,3,5,5,5,5,4,5,2.8333,4.5000,3.5000,4.1667,4.6667
Drentsche Patrijshond,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-488979219-e1710430789588.jpg?w=1024,https://dogtime.com/dog-breeds/drentsche-patrijshond,3,2,4,3,4,3,5,4,4,3,4,3,3,4,2,3,2,4,3,4,2,1,5,3,4,3.1667,4.0000,3.1667,2.6667,4.0000
Drever,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1161618692-e1695350939289.jpg?w=1024,https://dogtime.com/dog-breeds/drever,4,3,2,2,2,3,5,5,4,3,3,2,3,5,3,3,3,4,4,3,4,2,5,3,4,2.6667,4.2500,3.1667,3.3333,4.0000
Dutch Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1200407537-1-e1697827592829.jpg?w=1024,https://dogtime.com/dog-breeds/dutch-shepherd,3,3,3,2,4,4,4,4,4,2,4,2,3,4,2,3,5,4,2,3,2,2,4,3,4,3.1667,3.5000,3.0000,3.0000,3.6667
English Cocker Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-672429448-1-e1691168259563.jpg?w=1024,https://dogtime.com/dog-breeds/english-cocker-spaniel,5,4,5,1,4,3,5,5,5,5,3,1,3,4,5,2,4,5,3,5,4,4,5,3,5,3.6667,5.0000,3.0000,4.1667,4.3333
English Foxhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-175419423-e1693750736808.jpg,https://dogtime.com/dog-breeds/english-foxhound,1,2,3,4,3,3,4,4,5,3,3,1,5,4,2,3,3,3,4,5,4,5,5,4,5,2.6667,4.0000,3.0000,4.0000,4.6667
English Setter,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1186378289-e1691459172268.jpg?w=1024,https://dogtime.com/dog-breeds/english-setter,1,3,4,1,4,3,5,5,5,5,3,2,3,3,5,3,3,5,4,5,4,5,4,2,5,2.6667,5.0000,3.1667,4.3333,3.6667
English Springer Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1187748676-e1693582587759.jpg,https://dogtime.com/dog-breeds/english-springer-spaniel,1,3,4,1,3,4,5,5,5,4,3,1,2,3,3,3,5,5,3,5,3,4,5,3,5,2.6667,4.7500,2.5000,4.1667,4.3333
English Toy Spaniel,https://www.thesprucepets.com/thmb/rZYLO0sZdcrcyPJ5Gtm6rMCOhv8=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/17285271484_cf2a1ee298_o-e9f36a076d9f4a0bacdc1200673e5268.jpg,https://dogtime.com/dog-breeds/english-toy-spaniel,4,4,4,1,2,2,5,1,4,4,5,2,4,2,3,2,3,3,4,4,3,2,3,3,4,2.8333,3.5000,3.0000,3.1667,3.3333
Entlebucher Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1446374246-e1695303266393.jpg?w=1024,https://dogtime.com/dog-breeds/entlebucher-mountain-dog,1,2,4,3,4,2,5,5,3,2,3,1,5,3,3,3,3,4,4,4,5,3,5,4,5,2.6667,3.7500,3.0000,3.8333,4.6667
Estrela Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1256997194-e1691757468416.jpg?w=1024,https://dogtime.com/dog-breeds/estrela-mountain-dog,1,3,2,3,4,3,5,5,3,2,4,3,2,4,3,4,4,5,2,1,3,1,3,3,3,2.6667,3.7500,3.3333,2.6667,3.0000
Eurasier,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-506910133-e1691284962938.jpg?w=1024,https://dogtime.com/dog-breeds/eurasier,4,3,2,1,4,3,3,5,4,2,4,3,3,4,2,4,4,4,2,1,2,1,3,2,3,2.8333,3.5000,3.3333,2.3333,2.6667
Field Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-993615914-1-e1691887233572.jpg?w=1024,https://dogtime.com/dog-breeds/field-spaniel,1,3,4,1,3,4,5,5,4,4,3,1,4,3,4,2,5,5,3,4,2,5,5,3,5,2.6667,4.5000,2.8333,4.0000,4.3333
Finnish Lapphund,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1064585256-e1693319513940.jpg,https://dogtime.com/dog-breeds/finnish-lapphund,4,4,4,2,5,2,5,5,5,4,3,1,4,4,4,3,5,5,4,4,3,4,5,5,5,3.5000,4.7500,3.1667,4.1667,5.0000
Finnish Spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-490054960-1-e1691172054332.jpg?w=1024,https://dogtime.com/dog-breeds/finnish-spitz,3,3,3,1,5,3,5,5,5,3,4,1,2,4,3,3,3,4,3,3,5,4,5,4,5,3.0000,4.5000,2.8333,3.6667,4.6667
Flat-Coated Retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1437669412-e1698601773598.jpg?w=1024,https://dogtime.com/dog-breeds/flat-coated-retriever,1,2,5,1,4,4,5,5,5,5,3,2,4,4,4,3,4,5,3,3,4,4,5,4,5,2.8333,5.0000,3.3333,3.8333,4.6667
Fox Terrier,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-828399432-e1705075052179.jpg?w=1024,https://dogtime.com/dog-breeds/fox-terrier,3,3,3,3,3,4,4,4,3,3,2,1,2,4,2,2,5,5,3,5,3,3,5,5,5,3.1667,3.5000,2.1667,4.0000,5.0000
French Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-821730372-e1705934561973.jpg?w=1024,https://dogtime.com/dog-breeds/french-bulldog,5,5,3,1,2,1,5,4,4,4,3,1,5,2,4,2,4,3,3,2,3,2,3,4,5,2.8333,4.2500,2.8333,2.8333,4.0000
